cafe_idx,hub_idx,dist_km,geonameid_cafe,city_cafe,country_cafe,lat_cafe,lon_cafe,population,poi_student,poi_activity,poi_logistics,poi_transit,pop_norm,student_norm,activity_norm,logistics_norm,transit_norm,demand_factor,hub_score_cafe,fixed_cost_proxy,base_weight,geonameid_hub,city_hub,country_hub,lat_hub,lon_hub,hub_score_hub,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
0,0,0.0,745044,Istanbul,TR,41.01384,28.94966,15701602,1088,2780,186,3253,1.0,0.3157415832575068,0.8909512761020881,0.0494652406417112,0.4345549738219895,1.367635205174922,0.1649921605957947,2.156380510440836,3.4190880129373054,745044,Istanbul,TR,41.01384,28.94966,0.1649921605957947,istanbul,-0.3990074482222473,-0.7333530118949918,city,-0.3990074482222473,0.24006525536254764,0.03455723542116631,0.5971769815418023,1.1832978190068517,1183.2978190068518,7099.78691404111,0.216393162243481,1157.692063313781,7022.969646961898
1,1,356.9306363813552,2643743,London,GB,51.50853,-0.12574,8961989,1575,2082,555,6739,0.5567453162257893,0.4634516226872914,0.6595956247928406,0.1481283422459893,0.9025372533225936,1.4099900985709428,0.3744510155689706,1.7092345028977678,2.4312519947104017,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
2,42,199.8565517424137,323786,Ankara,TR,39.91987,32.85427,3517182,647,1782,59,1259,0.19864816658283366,0.1819836214740673,0.560159098442161,0.0155080213903743,0.1668680359779836,1.221221992572873,0.0609160257666571,1.3829821726431315,1.3404551366063178,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
3,19,294.72601741976246,2950159,Berlin,DE,52.52437,13.41053,3426354,820,2513,299,3507,0.1926745392517326,0.2344555656657567,0.8024527676499834,0.0796791443850267,0.4686535105383272,1.301163892929451,0.1963714542310168,1.4751207384613796,1.4145999384291401,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
4,4,0.0,3117735,Madrid,ES,40.4165,-3.70256,3255944,1308,3109,299,5745,0.1814669178850513,0.3824689111313315,1.0,0.0796791443850267,0.7690965230232246,1.4294813466787988,0.2865043579764861,1.545173534308041,1.5260672647820537,3117735,Madrid,ES,40.4165,-3.70256,0.2865043579764861,madrid,0.08886285608365685,-0.14618037798784608,city,0.08886285608365685,0.5295226509063288,0.3628509719222462,0.5971769815418023,1.4612858284270391,1461.2858284270392,8767.714970562234,0.3757607864227842,1406.376437219218,8602.986796938769
5,42,132.8566841636521,750269,Bursa,TR,40.19559,29.06013,3101833,256,451,31,291,0.17133125837891533,0.0633909614801334,0.1189923765329797,0.0080213903743315,0.0369177070747751,1.0618330521946762,0.0166902853844646,1.1846619573163242,1.114743876932474,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
6,10,0.0,311046,İzmir,TR,38.41273,27.13838,2938292,526,1277,88,1437,0.16057540129348355,0.1452835911434637,0.392774279085184,0.0232620320855614,0.1907638609209289,1.165725010503115,0.0735125807361717,1.2855700326688604,1.2018705902562652,311046,İzmir,TR,38.41273,27.13838,0.0735125807361717,izmir,-0.6134707506874132,-0.7333530118949918,city,-0.6134707506874132,0.11282244426420909,0.03455723542116631,0.5971769815418023,1.1260385540125992,1126.0385540125992,6756.231324075596,0.09641439782797082,1115.1819211009788,6723.661425340734
7,44,394.14323167060155,703448,Kyiv,UA,50.45466,30.5238,2797553,671,1365,468,2181,0.15131919905461633,0.18926296633303,0.4219423268147166,0.1248663101604278,0.2906430393341388,1.1979462451627614,0.1745993289125411,1.2898322899695798,1.2156861499469704,709930,Dnipro,UA,48.46664,35.04066,0.0765259701801124,dnipro,-0.6957218116486716,-0.7865517503463348,city,-0.6957218116486716,0.06402222486895265,0.4269772703897975,0.40394605181920745,1.2613443780483584,1261.3443780483585,7568.06626829015,0.10036656663702678,1248.6846975911956,7530.087226918661
8,49,478.5981536825773,3169070,Rome,IT,41.89193,12.51133,2318895,730,1570,143,5270,0.11983854869294182,0.2071580224446466,0.4898906198210142,0.0379679144385026,0.705329574439522,1.2222729374309909,0.2381764124388085,1.2918270868827593,1.1730366791979236,3173435,Milan,IT,45.46427,9.18951,0.1948230426795255,milan,0.6076977517425448,0.14228026358577445,city,0.6076977517425448,0.8373515888211174,0.43628509719222464,0.5609844372059355,1.6292349524265977,1629.2349524265976,9775.409714559586,0.25551743871395616,1587.6051582158677,9650.520331927397
9,1,430.5067169268833,2988507,Paris,FR,48.85341,2.3488,2138551,3344,2964,482,7465,0.10797758238959826,1.0,0.9519390122638384,0.1286096256684492,1.0,1.7903878024527675,0.3900267379679144,1.4671576708172138,1.6811039081247579,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
10,21,182.81050965524838,314830,Gaziantep,TR,37.05944,37.3825,2130432,336,598,50,36,0.10744360740059476,0.0876554443433424,0.1677162744448127,0.0131016042780748,0.0026849241508927,1.086136521494968,0.0099766002399202,1.153041395698401,1.0188246366193936,325363,Adana,TR,36.98615,35.32531,0.0244843545736677,adana,-0.7513752359640133,-0.7333530118949918,city,-0.7513752359640133,0.031002598314041632,0.03455723542116631,0.5971769815418023,1.089219623335024,1089.219623335024,6535.317740010144,0.032112113039518754,1085.7219089680843,6524.824596909325
11,0,445.3898723048729,683506,Bucharest,RO,44.43225,26.10626,1877155,512,1195,42,2074,0.09078594225835576,0.1410373066424022,0.3655949618826649,0.0109625668449197,0.2762786951268626,1.1577413763619742,0.0905574053295026,1.2188667385597505,1.0522426553243687,745044,Istanbul,TR,41.01384,28.94966,0.1649921605957947,istanbul,-0.3990074482222473,-0.7333530118949918,city,-0.3990074482222473,0.24006525536254764,0.03455723542116631,0.5971769815418023,1.1832978190068517,1183.2978190068518,7099.78691404111,0.216393162243481,1157.692063313781,7022.969646961898
12,19,549.9020376829402,2911298,Hamburg,DE,53.55073,9.99302,1845229,476,1289,874,2657,0.08868621501375352,0.1301182893539581,0.3967517401392111,0.2334224598930481,0.3545442341253859,1.157421321640217,0.2697589921627494,1.2296496680666873,1.0476987945670149,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
13,21,0.0,325363,Adana,TR,36.98615,35.32531,1816750,263,746,21,531,0.08681319201685359,0.0655141037306642,0.2167716274444812,0.0053475935828877,0.0691367968854879,1.0826627877272947,0.0244843545736677,1.1561592045912754,0.9764785626362964,325363,Adana,TR,36.98615,35.32531,0.0244843545736677,adana,-0.7513752359640133,-0.7333530118949918,city,-0.7513752359640133,0.031002598314041632,0.03455723542116631,0.5971769815418023,1.089219623335024,1089.219623335024,6535.317740010144,0.032112113039518754,1085.7219089680843,6524.824596909325
14,36,173.16935419759386,316541,Diyarbakır,TR,37.91363,40.21721,1791373,212,373,2,76,0.08514418311231588,0.0500454959053685,0.0931388796818031,0.0002673796791443,0.0080547724526782,1.048655073479582,0.0026035975112045,1.105370898362574,0.9427433444061946,304922,Malatya,TR,38.35018,38.31667,0.0,malatya,-0.8036290298093237,-0.7333530118949918,city,-0.8036290298093237,0.0,0.03455723542116631,0.5971769815418023,1.0752684540937052,1075.2684540937053,6451.610724562232,0.0,1075.2684540937053,6451.610724562232
15,19,777.1031985448539,625144,Minsk,BY,53.90019,27.56653,1742124,495,677,82,2137,0.08190514699537621,0.1358811040339702,0.1939012263838249,0.0216577540106951,0.2847362062021747,1.120308907697147,0.100581289668139,1.1430846081498311,1.0008100458618976,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
16,19,426.44567230698414,3054643,Budapest,HU,47.49835,19.04045,1741041,578,1503,325,3500,0.08183391963817818,0.1610555050045496,0.4676831289360291,0.0866310160427807,0.4677137870855148,1.1901699287899357,0.2009558473556009,1.252540387284954,1.0630709196321024,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
